"SRR4785819"	"SRR4785820"	"SRR4785828"	"SRR4785831"	"SRR4785979"	"SRR4785980"	"SRR4785986"	"SRR4785988"
"ABCA10"	1154	111	74	117	147	215	195	2321
"ABCA11P"	188	1	13	14	33	40	52	148
"ABCA12"	7	27	1	8	2	69	50	7
"ABCA13"	252	69	6	4	38	157	152	289
"ABCA17P"	74	0	34	28	6	26	51	65
"ABCA2"	5416	790	311	394	86	667	192	505
"ABCA3"	2520	719	164	326	79	146	102	552
"ABCA4"	3	51	1	0	8	5	2	12
"ABCA5"	3359	80	67	124	488	1337	3328	5941
"ABCA6"	5911	454	626	464	764	8174	7207	8234
"ABCA7"	1505	488	232	95	65	151	148	222
"ABCA8"	6021	534	448	631	838	1756	1259	8747
"ABCA9"	2067	320	307	214	261	2562	1714	4438
"ABCB1"	228	8	29	6	39	404	565	655
"ABCB10"	764	123	103	113	240	809	1048	547
"ABCB10P1"	0	0	0	0	0	0	0	0
"ABCB10P3"	0	0	0	0	0	0	0	0
"ABCB10P4"	0	0	0	0	0	0	0	0
"ABCB11"	28	40	18	16	8	36	38	41
"ABCB4"	176	65	53	40	22	424	947	147
"ABCB5"	80	39	35	20	16	122	82	88
"ABCB6"	36	7	8	44	93	71	36	65
"ABCB7"	1103	201	164	84	136	1413	1804	1432
"ABCB8"	989	159	77	62	243	60	201	193
"ABCB9"	732	117	136	113	60	353	437	380
"ABCC1"	3573	615	236	293	711	4088	2437	3137
"ABCC10"	1531	172	109	94	233	239	319	369
"ABCC11"	86	19	17	10	12	61	45	84
"ABCC12"	37	14	0	10	13	91	116	65
"ABCC13"	67	91	1	6	21	95	64	128
"ABCC2"	64	41	58	62	33	170	221	459
"ABCC3"	6431	290	141	94	355	575	926	225
"ABCC4"	939	60	91	105	336	1853	2823	2009
"ABCC5"	7255	185	100	65	416	3114	1877	1996
"ABCC6"	735	206	101	72	45	182	222	378
"ABCC6P1"	0	0	0	3	7	5	0	7
"ABCC6P2"	0	0	1	7	3	0	1	0
"ABCC8"	948	66	22	34	104	597	520	637
"ABCC9"	5961	4301	4765	3246	1321	8371	5828	8927
"ABCD1"	828	158	279	230	3	5	2	157
"ABCD1P2"	0	0	0	0	0	1	0	0
"ABCD1P3"	0	0	0	0	0	0	0	0
"ABCD1P4"	0	0	0	0	0	0	0	0
"ABCD1P5"	1	0	0	0	0	0	0	0
"ABCD2"	115	39	6	22	184	254	748	1403
"ABCD3"	1267	317	175	131	121	2533	2109	1790
"ABCD4"	2849	155	241	95	148	2627	1501	1347
"ABCE1"	1199	218	276	294	613	2671	3216	1651
"ABCF1"	918	843	519	392	77	488	717	664
"ABCF2"	689	97	230	171	133	786	408	559
"ABCF2-H2BE1"	122	34	21	16	18	79	558	52
"ABCF2P1"	0	0	0	0	0	2	2	0
"ABCF2P2"	0	0	0	0	0	0	0	0
"ABCF3"	1191	202	168	203	77	153	120	223
"ABCG1"	3007	449	194	330	374	2607	2211	1810
"ABCG2"	54	12	17	17	38	171	177	118
"ABCG4"	0	0	0	0	0	7	9	11
"ABCG5"	56	0	19	6	12	59	33	48
"ABCG8"	521	178	38	36	58	391	378	378
"ABHD1"	89	40	58	29	11	40	42	118
"ABHD10"	752	72	113	139	124	757	1205	614
"ABHD11"	335	73	114	22	78	129	117	189
"ABHD11-AS1"	37	0	10	3	5	1	1	0
"ABHD12"	2373	240	224	185	355	1595	1348	750
"ABHD12B"	544	103	58	27	92	449	386	510
"ABHD13"	1097	38	134	92	316	1561	1401	1471
"ABHD14A"	179	39	91	66	37	76	55	63
"ABHD14A-ACY1"	151	0	0	0	0	2	19	41
"ABHD14B"	524	251	260	138	16	190	184	88
"ABHD15"	620	327	214	163	6	442	81	26
"ABHD16A"	164	101	77	91	137	75	89	86
"ABHD16B"	199	48	22	7	7	23	6	30
"ABHD17A"	3030	1915	1013	471	134	539	590	669
"ABHD17AP1"	49	1	7	0	0	0	3	5
"ABHD17AP3"	0	0	0	0	1	6	1	0
"ABHD17AP4"	0	0	0	0	0	0	0	0
"ABHD17AP5"	0	0	0	0	0	0	5	0
"ABHD17AP6"	0	0	0	0	0	0	0	0
"ABHD17AP7"	0	0	0	0	0	0	0	0
"ABHD17AP8"	0	0	0	0	0	0	0	0
"ABHD17AP9"	0	0	0	0	0	0	0	0
"ABHD17B"	361	21	115	61	126	947	770	571
"ABHD17C"	206	0	24	1	112	618	584	156
"ABHD18"	779	193	370	151	241	1356	1579	922
"ABHD2"	9812	2243	1116	1130	2157	19621	8519	9515
"ABHD3"	527	73	20	29	206	735	1368	904
"ABHD4"	577	124	183	162	176	238	147	285
"ABHD5"	373	73	89	71	288	981	1071	3132
"ABHD6"	523	100	53	43	70	390	364	262
"ABHD8"	153	15	51	64	27	10	19	17
"ABI1"	2271	285	461	303	689	4673	5550	3655
"ABI1P1"	2	0	0	0	2	17	12	5
"ABI2"	7710	771	981	791	892	9312	6124	5948
"ABI3"	875	101	141	112	67	134	109	269
"ABI3BP"	32077	5401	2186	2563	5299	24655	14829	32893
"ABITRAM"	141	0	55	42	114	103	188	189
"ABITRAMP1"	1	0	0	0	0	0	1	0
"ABL1"	7174	852	757	807	1014	5284	2834	3285
"ABL2"	3624	857	838	530	969	6894	4772	4885
"ABLIM1"	5332	1983	1634	2305	1105	8094	5096	14808
"ABLIM2"	396	61	34	36	2	217	138	162
"ABLIM3"	650	960	688	322	181	666	529	1867
"ABO"	526	136	19	38	57	394	577	433
"ABR"	15575	2303	1897	1830	1260	4864	3601	4268
"ABRA"	66	2	34	2	21	87	78	31
"ABRACL"	376	61	134	60	45	1288	1313	380
"ABRAXAS1"	740	242	296	251	261	1089	1058	1072
"ABRAXAS2"	740	20	84	81	152	1162	1235	675
"ABT1"	48	91	62	69	147	685	540	8
"ABT1P1"	21	0	0	0	1	26	13	5
"ABTB1"	1532	525	290	210	310	605	447	1073
"ABTB2"	1043	198	95	86	28	241	149	306
"ACAA1"	1463	100	275	143	415	1029	1227	1030
"ACAA2"	998	233	263	197	165	871	685	757
"ACACA"	3320	531	253	342	412	3455	3516	3474
"ACACB"	5388	621	383	443	434	1560	942	7490
"ACAD10"	1404	106	135	43	186	674	540	715
"ACAD11"	2506	123	88	54	104	2262	2116	2212
"ACAD8"	1052	8	49	37	191	462	676	532
"ACAD9"	3165	371	320	137	459	1766	1558	2165
"ACADL"	567	229	318	109	61	416	384	604
"ACADM"	1782	424	881	564	651	1393	1731	1657
"ACADS"	90	51	133	130	53	328	63	115
"ACADSB"	2299	554	535	312	418	1487	1926	2593
"ACADVL"	8620	1268	1046	683	386	2001	1758	2045
"ACAN"	38	14	19	10	83	2774	121	322
"ACAP1"	627	128	145	62	96	238	501	427
"ACAP2"	4820	553	664	494	1579	9571	11270	7193
"ACAP3"	4423	1763	1059	446	216	280	142	433
"ACAT1"	1395	722	459	250	297	871	893	1563
"ACAT2"	102	50	75	49	32	77	330	124
"ACBD3"	2618	969	966	597	480	2735	2866	2468
"ACBD4"	685	120	103	99	87	215	290	43
"ACBD5"	1181	530	534	328	288	1948	2274	1558
"ACBD6"	1600	110	208	152	190	1425	1293	1379
"ACBD7"	737	337	141	91	84	670	684	639
"ACCS"	1762	93	79	65	75	632	1219	1253
"ACCSL"	0	0	0	0	0	2	4	9
"ACD"	132	106	113	62	50	1	123	19
"ACE"	443	101	53	77	191	300	570	512
"ACE2"	148	1	52	12	46	176	231	136
"ACE3P"	0	0	0	0	0	0	0	0
"ACER1"	17	6	1	0	3	18	21	20
"ACER2"	258	14	17	7	28	107	108	127
"ACER2P1"	0	0	0	0	0	0	0	0
"ACER3"	4457	761	497	376	961	3990	4332	4947
"ACHE"	0	9	0	0	19	0	51	11
"ACIN1"	7894	1670	1220	1124	890	4757	4827	3681
"ACKR1"	151	75	186	98	104	736	452	2025
"ACKR2"	375	189	148	114	60	216	275	288
"ACKR3"	2198	1373	487	684	771	8015	4376	4107
"ACKR4"	72	83	39	23	16	352	120	242
"ACKR4P1"	18	0	0	0	4	5	5	21
"ACLY"	3394	633	523	572	201	2719	2370	2319
"ACMSD"	69	0	10	8	5	50	155	27
"ACNATP"	0	0	0	0	0	0	0	0
"ACO1"	2735	176	248	272	643	3563	4687	3433
"ACO2"	3124	511	469	315	434	2267	2404	1962
"ACOD1"	0	0	0	0	0	0	0	0
"ACOT1"	22	0	10	8	20	58	88	87
"ACOT11"	4455	807	489	242	438	2115	2198	2150
"ACOT12"	9	0	0	0	4	2	0	4
"ACOT13"	903	128	104	93	188	725	682	730
"ACOT2"	241	121	72	98	69	186	174	231
"ACOT4"	57	0	8	11	14	27	67	28
"ACOT6"	9	0	0	0	1	5	2	7
"ACOT7"	836	105	99	83	115	69	60	35
"ACOT8"	995	282	67	66	0	685	340	362
"ACOT9"	1617	469	394	304	267	1773	1073	1596
"ACOX1"	1898	301	793	503	246	2460	2033	2605
"ACOX2"	716	98	51	29	103	365	236	533
"ACOX3"	1536	162	62	50	160	518	458	550
"ACOXL"	267	95	58	46	108	136	295	333
"ACP1"	563	180	292	131	300	1842	2044	1040
"ACP2"	1669	171	297	302	239	1532	1066	561
"ACP3"	324	215	241	104	65	914	391	463
"ACP4"	6	0	0	0	6	14	6	2
"ACP5"	2177	151	129	110	192	831	666	234
"ACP6"	964	175	12	36	192	700	574	682
"ACP7"	114	26	118	58	9	93	101	115
"ACR"	8	0	0	0	3	18	3	7
"ACRBP"	54	15	30	2	11	82	3	56
"ACRP1"	0	0	0	0	0	0	0	2
"ACRV1"	6	0	0	0	0	0	0	0
"ACSBG1"	477	1	54	25	104	438	459	412
"ACSBG2"	21	0	5	0	13	105	32	117
"ACSF2"	993	172	65	71	267	307	180	321
"ACSF3"	3258	425	301	175	485	1494	1800	1790
"ACSL1"	3329	249	315	535	792	5646	3505	17197
"ACSL3"	3453	369	334	382	531	5559	4212	2442
"ACSL4"	2774	488	652	381	1129	6015	6948	3851
"ACSL5"	562	0	84	75	553	1363	2487	993
"ACSL6"	266	100	41	58	34	193	468	342
"ACSM1"	0	0	4	0	13	6	53	3
"ACSM2A"	697	249	67	56	147	879	894	874
"ACSM2B"	343	98	24	21	53	403	395	344
"ACSM3"	341	3	15	29	92	348	627	404
"ACSM4"	12	0	3	1	3	39	52	11
"ACSM5"	1087	29	109	97	93	113	131	318
"ACSM5P1"	29	17	2	0	0	6	2	13
"ACSM6"	85	108	11	9	28	195	194	144
"ACSS1"	2525	143	268	165	500	697	1112	1213
"ACSS2"	1035	161	119	61	268	912	781	1244
"ACSS3"	1361	195	198	189	174	1112	996	2013
"ACTA1"	29	1	0	17	3	19	17	9
"ACTA2"	2602	1671	462	549	347	4557	3028	6954
"ACTB"	63456	16778	22756	15490	15385	70470	73748	45924
"ACTBL2"	0	30	0	0	2	1	0	6
"ACTBP1"	0	0	0	0	0	0	0	1
"ACTBP11"	1	0	0	0	0	0	0	0
"ACTBP12"	0	0	0	0	0	0	0	0
"ACTBP14"	0	0	0	0	0	0	0	2
"ACTBP15"	2	0	0	0	1	2	0	1
"ACTBP2"	0	0	0	0	0	0	0	0
"ACTBP4"	1	0	3	0	32	104	92	129
"ACTBP6"	0	0	0	0	0	0	8	0
"ACTBP7"	0	0	0	0	0	0	0	0
"ACTBP8"	1	0	0	0	0	0	0	0
"ACTBP9"	0	0	0	0	0	0	0	0
"ACTC1"	2	0	3	0	3	2	4	26
"ACTE1P"	48	46	48	26	7	38	26	73
"ACTG1"	24632	11202	14420	8534	6321	31574	29695	23987
"ACTG1P1"	36	0	0	0	15	24	53	70
"ACTG1P10"	215	0	0	3	6	158	152	145
"ACTG1P11"	0	0	0	0	0	0	0	0
"ACTG1P12"	4	0	4	0	1	0	0	1
"ACTG1P13"	0	0	0	0	0	0	0	0
"ACTG1P14"	170	0	6	0	26	81	127	70
"ACTG1P15"	0	0	0	0	0	4	1	0
"ACTG1P16"	5	0	0	0	0	0	10	0
"ACTG1P17"	125	93	14	7	3	89	71	88
"ACTG1P18"	11	0	0	0	0	1	0	24
"ACTG1P19"	0	0	0	0	0	0	0	0
"ACTG1P2"	0	0	0	0	0	0	0	0
"ACTG1P20"	0	0	4	14	8	46	44	12
"ACTG1P21"	0	0	0	0	0	0	0	0
"ACTG1P22"	23	0	0	0	21	35	73	33
"ACTG1P23"	0	0	0	0	0	0	0	0
"ACTG1P24"	4	0	0	0	0	0	0	1
"ACTG1P25"	41	7	27	44	1	34	61	23
"ACTG1P3"	30	0	0	5	42	173	119	72
"ACTG1P4"	0	0	0	0	0	0	0	0
"ACTG1P9"	63	4	24	19	14	76	81	69
"ACTG2"	49	26	28	23	27	73	85	190
"ACTL10"	33	11	8	21	7	30	37	6
"ACTL11P"	23	17	7	0	10	10	19	22
"ACTL6A"	744	129	73	149	65	1063	1369	709
"ACTL6B"	0	16	0	0	0	0	0	0
"ACTL7A"	0	0	0	0	0	6	20	16
"ACTL7B"	1	22	0	0	0	0	8	0
"ACTL8"	0	0	8	0	0	0	0	0
"ACTL9"	1	0	0	0	0	0	1	0
"ACTN1"	3565	815	863	459	870	5266	3876	5459
"ACTN2"	109	31	16	11	14	61	93	77
"ACTN3"	0	0	7	0	3	0	3	13
"ACTN4"	8465	2043	1640	1859	1094	4543	2553	4192
"ACTN4P1"	0	0	0	0	0	0	0	0
"ACTN4P2"	0	0	0	0	0	0	0	0
"ACTP1"	0	0	0	0	0	0	0	0
"ACTR10"	1164	220	365	196	167	1637	1523	1588
"ACTR1A"	3827	683	561	479	507	3472	3196	2718
"ACTR1AP1"	24	0	0	0	1	0	5	15
"ACTR1B"	1232	237	227	246	249	896	787	598
"ACTR2"	6579	1355	2584	1716	3087	12997	13210	6695
"ACTR3"	5451	1507	1324	959	2180	12819	18668	7875
"ACTR3B"	563	52	45	27	106	678	648	481
"ACTR3BP1"	0	0	0	0	0	0	0	0
"ACTR3BP2"	0	0	0	0	0	0	0	0
"ACTR3BP3"	0	0	0	0	0	0	0	0
"ACTR3BP4"	2	0	0	0	7	23	52	26
"ACTR3BP5"	1	0	0	0	0	1	0	0
"ACTR3BP6"	0	0	0	0	0	5	6	0
"ACTR3BP7"	0	0	0	0	0	0	0	0
"ACTR3C"	129	20	42	14	102	211	801	212
"ACTR3P2"	0	0	0	0	0	0	2	1
"ACTR3P3"	0	0	0	0	0	0	0	1
"ACTR5"	341	103	36	25	83	367	389	226
"ACTR6"	587	212	154	110	40	679	930	605
"ACTR6P1"	0	0	0	0	0	0	0	0
"ACTR8"	797	130	175	125	334	1795	1694	839
"ACTRT1"	0	0	0	0	0	0	0	0
"ACTRT1P1"	0	11	0	1	0	0	0	0
"ACTRT2"	0	0	5	0	0	0	0	0
"ACTRT3"	45	11	32	6	3	71	101	102
"ACVR1"	3812	535	370	287	669	5435	2134	2734
"ACVR1B"	1060	102	135	55	112	320	456	771
"ACVR1C"	348	0	57	33	26	29	57	1214
"ACVR2A"	932	122	173	131	345	2005	1617	1686
"ACVR2B"	1785	99	255	302	246	823	1023	1334
"ACVRL1"	1876	204	171	173	110	1283	1099	1459
"ACY1"	242	122	158	81	10	179	266	142
"ACY3"	1	0	0	0	0	0	0	3
"ACYP1"	392	37	22	46	26	145	177	35
"ACYP2"	862	241	105	65	171	557	737	674
"ADA"	143	120	68	78	49	504	336	265
"ADA2"	2594	398	322	326	1062	2329	1781	1686
"ADAD1"	0	12	0	0	0	0	1	0
"ADAD1P2"	0	9	0	0	0	0	4	1
"ADAD2"	22	1	1	1	0	16	43	16
"ADAL"	238	168	54	33	78	422	462	244
"ADAM10"	7756	734	828	566	1299	8750	8841	5953
"ADAM11"	19	2	5	2	4	31	3	1
"ADAM12"	460	107	28	0	270	5601	1350	898
"ADAM15"	2765	565	542	427	179	2423	797	2139
"ADAM17"	2745	361	283	169	482	3354	3981	3029
"ADAM18"	18	18	0	0	5	11	6	4
"ADAM19"	380	154	160	47	962	1469	5359	1916
"ADAM1A"	0	0	0	0	2	0	17	0
"ADAM1B"	72	35	2	2	5	25	35	32
"ADAM2"	0	0	6	0	1	0	0	0
"ADAM20"	437	17	5	4	17	246	234	177
"ADAM20P1"	298	0	4	1	39	207	283	189
"ADAM20P2"	0	0	0	0	0	0	0	0
"ADAM20P3"	0	0	0	0	0	0	0	0
"ADAM21"	203	0	7	6	3	105	92	77
"ADAM21P1"	27	0	0	0	0	4	5	10
"ADAM22"	411	211	129	58	55	417	330	1297
"ADAM23"	877	91	95	95	0	5	120	89
"ADAM24P"	1	20	0	0	0	0	0	0
"ADAM28"	935	35	49	29	870	1384	12055	1516
"ADAM29"	74	52	17	22	17	19	230	46
"ADAM30"	0	0	0	0	2	2	0	0
"ADAM32"	8693	1973	680	359	1183	7175	7052	6672
"ADAM33"	80	299	361	238	19	775	250	1307
"ADAM3A"	67	18	32	15	11	79	128	56
"ADAM3B"	59	0	0	0	4	33	36	90
"ADAM5"	0	0	0	0	0	0	0	0
"ADAM6"	0	0	0	0	0	0	0	0
"ADAM7"	2	0	0	0	1	0	0	0
"ADAM8"	306	0	41	34	254	311	771	796
"ADAM9"	13016	1713	1363	1289	1103	11014	7609	4780
"ADAMDEC1"	10	2	0	0	255	210	6349	222
"ADAMTS1"	2612	537	1435	324	277	2398	1159	2189
"ADAMTS10"	3601	560	413	317	71	782	363	847
"ADAMTS12"	355	98	63	59	45	2173	463	826
"ADAMTS13"	159	57	42	10	16	48	36	53
"ADAMTS14"	131	33	27	11	0	1025	534	84
"ADAMTS15"	1423	24	83	62	4	1805	182	752
"ADAMTS16"	1801	167	142	110	166	2898	1684	581
"ADAMTS17"	927	348	136	69	173	683	717	769
"ADAMTS18"	14	13	15	4	30	569	151	33
"ADAMTS19"	182	91	62	57	27	118	12	446
"ADAMTS2"	10384	3408	812	443	1810	18351	5158	5165
"ADAMTS20"	0	0	5	0	0	1	0	0
"ADAMTS3"	1063	305	109	158	3	121	222	423
"ADAMTS4"	488	374	181	87	87	663	615	465
"ADAMTS5"	4574	727	559	813	1541	9137	5350	4485
"ADAMTS6"	276	59	33	22	323	2926	1861	1363
"ADAMTS7"	7926	781	451	438	47	196	162	569
"ADAMTS7P1"	69	36	11	0	6	2	13	5
"ADAMTS7P3"	904	13	35	61	22	12	6	2
"ADAMTS7P4"	43	24	97	118	24	51	207	54
"ADAMTS8"	797	17	26	12	9	13	13	16
"ADAMTS9"	981	56	186	112	279	6600	2750	2954
"ADAMTSL1"	170	77	55	27	83	2206	329	740
"ADAMTSL2"	1786	168	137	132	29	203	145	208
"ADAMTSL3"	21612	1718	1061	1177	1113	6297	7358	10578
"ADAMTSL4"	3879	850	597	426	603	2827	1181	3517
"ADAMTSL5"	102	71	40	39	36	34	31	73
"ADAP1"	571	1009	609	172	107	84	186	89
"ADAP2"	8201	466	675	352	1019	4458	3032	1414
"ADAR"	10732	2003	1554	2047	3319	12744	13998	12573
"ADARB1"	2078	375	449	204	395	2918	2569	2763
"ADARB2"	70	75	323	98	13	32	44	54
"ADAT1"	1674	201	317	177	281	1265	1478	1485
"ADAT2"	565	55	24	43	199	957	990	426
"ADAT3"	51	0	22	2	0	0	5	21
"ADCK1"	569	71	29	30	52	350	259	211
"ADCK2"	679	217	56	57	63	376	455	386
"ADCK5"	146	92	75	11	16	110	12	1
"ADCY1"	3343	201	129	81	286	804	1263	420
"ADCY10"	12	0	10	0	11	29	26	39
"ADCY10P1"	705	80	3	6	64	272	535	192
"ADCY2"	668	315	117	47	95	686	590	1598
"ADCY3"	2829	684	425	320	362	1171	1199	1857
"ADCY4"	698	256	193	106	110	195	285	463
"ADCY5"	92	126	90	71	16	140	129	448
"ADCY6"	4374	489	207	221	149	222	145	1300
"ADCY7"	10711	1166	866	810	1784	5285	4706	3727
"ADCY8"	4464	0	0	7	1	12	2	21
"ADCY9"	4746	1340	1250	1010	584	1801	1044	2026
"ADCYAP1"	6	3	9	4	12	68	71	189
"ADCYAP1R1"	69	83	13	73	7	48	31	212
"ADD1"	10228	1628	1183	1337	1194	5973	6248	6225
"ADD2"	171	73	86	46	28	96	311	230
"ADD3"	5759	1593	1880	1776	1409	8048	9487	9488
"ADGB"	1045	43	15	30	191	614	529	536
"ADGRA1"	0	0	0	0	0	0	0	0
"ADGRA2"	3709	730	700	729	142	190	85	1157
"ADGRA3"	5499	448	189	207	506	3172	2333	3131
"ADGRB1"	80	10	24	7	0	32	3	27
"ADGRB2"	319	43	32	21	15	78	7	1
"ADGRB3"	1067	27	21	31	40	176	63	469
"ADGRD1"	259	96	121	207	299	866	729	4555
"ADGRD2"	169	84	544	237	65	127	157	131
"ADGRE1"	10	27	0	2	41	11	1	198
"ADGRE2"	446	142	75	39	188	1026	817	1142
"ADGRE3"	2	0	0	0	3	0	1	339
"ADGRE4P"	136	2	42	8	25	88	29	73
"ADGRE5"	4317	1495	612	743	691	3852	1799	3658
"ADGRF1"	2514	1989	1928	1236	93	393	414	455
"ADGRF2"	3	0	1	0	4	6	6	4
"ADGRF3"	51	104	23	4	8	54	58	46
"ADGRF4"	0	0	0	0	1	6	0	3
"ADGRF5"	1751	270	137	219	267	5399	3026	3487
"ADGRF5P1"	103	36	0	0	12	34	55	94
"ADGRF5P2"	0	0	0	0	0	0	0	0
"ADGRG1"	636	96	85	62	44	188	306	541
"ADGRG2"	2710	638	195	307	229	1683	1914	2731
"ADGRG3"	0	25	0	5	39	47	13	152
"ADGRG4"	119	75	8	3	9	29	44	75
"ADGRG5"	7	0	0	4	107	62	158	40
"ADGRG6"	1214	71	84	138	42	308	353	667
"ADGRG7"	0	0	0	0	0	0	6	0
"ADGRL1"	2364	196	200	138	112	360	73	553
"ADGRL2"	3312	473	360	255	317	5753	3316	3933
"ADGRL3"	391	148	349	132	78	643	236	1989
"ADGRL4"	955	36	146	100	89	3420	1741	2272
"ADGRV1"	621	342	305	171	88	537	553	563
"ADH1A"	12	23	0	0	2	11	13	54
"ADH1B"	2642	128	78	676	40	45	94	10788
"ADH1C"	90	139	116	665	3	23	27	456
"ADH4"	360	107	13	28	26	165	193	406
"ADH5"	2315	618	925	587	490	3073	2383	3590
"ADH5P2"	0	0	0	0	0	0	0	1
"ADH5P3"	0	0	0	0	4	0	0	0
"ADH5P4"	2	0	0	0	0	0	0	0
"ADH5P5"	6	0	0	0	0	21	9	0
"ADH6"	10	1	4	9	7	20	42	84
"ADH7"	12	0	2	0	0	0	0	5
"ADHFE1"	336	36	18	45	29	140	112	521
"ADI1"	2801	632	429	440	596	3084	3172	2656
"ADI1P1"	1	0	0	0	0	0	0	0
"ADI1P2"	0	0	0	0	0	0	2	0
"ADI1P3"	0	0	0	0	0	0	0	0
"ADIG"	1	0	0	0	0	4	2	0
"ADIPOQ"	2187	280	223	565	66	97	157	12468
"ADIPOR1"	1353	347	423	388	473	2108	2208	6320
"ADIPOR1P1"	0	17	0	0	0	0	0	0
"ADIPOR1P2"	5	0	0	0	0	0	0	0
"ADIPOR2"	2502	500	326	292	759	2554	2866	2581
"ADIRF"	2195	1790	1448	1319	105	733	40	4232
"ADK"	1051	128	159	135	254	1472	2280	1440
"ADM"	366	35	20	23	50	299	204	852
"ADM2"	33	30	23	17	7	58	55	22
"ADM5"	0	0	4	0	0	21	10	34
"ADNP"	4755	655	620	668	1354	5789	6242	4783
"ADNP2"	1581	95	147	153	233	1086	944	1721
"ADO"	418	107	178	115	25	643	634	805
"ADORA1"	347	0	14	8	5	13	60	44
"ADORA2A"	1	105	20	30	62	79	281	30
"ADORA2B"	189	190	3	23	32	413	300	97
"ADORA2BP1"	0	0	0	0	0	1	6	5
"ADORA3"	1576	18	35	124	21	158	40	46
"ADPGK"	3438	195	195	159	897	4694	4954	3461
"ADPRH"	521	11	160	66	194	929	985	653
"ADPRHL1"	114	77	36	30	10	81	80	96
"ADPRM"	242	0	70	33	118	276	343	386
"ADPRS"	18	87	101	70	48	124	202	8
"ADRA1A"	51	74	30	37	13	69	84	75
"ADRA1B"	236	58	5	23	4	8	18	34
"ADRA1D"	18	0	7	0	2	36	13	8
"ADRA2A"	35	84	112	93	37	51	2	829
"ADRA2B"	56	107	12	9	0	0	1	0
"ADRA2C"	31	30	61	13	4	0	9	69
"ADRB1"	42	7	22	31	4	39	71	20
"ADRB2"	746	0	56	12	134	849	846	699
"ADRB3"	350	36	7	0	22	343	114	144
"ADRM1"	932	370	330	231	46	427	412	150
"ADSL"	1311	370	346	289	201	613	1362	1291
"ADSS1"	843	56	44	34	23	121	159	110
"ADSS2"	1562	586	369	183	387	2532	3433	1703
"ADTRP"	423	71	24	17	54	396	466	111
"AEBP1"	11714	4535	3413	1822	831	12887	1650	6136
"AEBP2"	2174	1099	2598	2046	460	2225	2207	1837
"AEN"	280	81	54	59	112	550	579	363
"AFAP1"	3124	767	687	486	386	3972	1985	2174
"AFAP1L1"	271	138	75	81	63	1598	677	1619
"AFAP1L2"	1126	465	234	260	45	6	6	1065
"AFDN"	4400	589	458	480	728	5418	4881	6254
"AFF1"	10004	1424	1425	1632	2589	11292	8988	14204
"AFF2"	8	155	33	47	50	48	115	191
"AFF3"	1733	1295	721	506	421	1198	4654	2875
"AFF4"	6104	756	1101	917	1294	9670	8347	7496
"AFG1L"	503	95	40	31	88	704	661	522
"AFG3L1P"	971	36	67	19	230	603	792	449
"AFG3L2"	2064	512	195	197	489	1552	1742	1768
"AFG3L2P1"	0	0	0	0	2	0	3	0
"AFM"	0	70	0	0	0	0	0	0
"AFMID"	709	267	221	118	106	187	203	212
"AFP"	0	0	0	0	0	8	2	0
"AFTPH"	2153	203	346	310	829	2950	6292	2987
"AGA"	614	74	53	18	165	809	946	773
"AGAP1"	4203	2362	879	842	413	3308	1246	3923
"AGAP10P"	52	0	0	13	32	53	44	126
"AGAP11"	466	91	19	18	14	92	50	867
"AGAP12P"	143	0	0	0	13	51	70	209
"AGAP13P"	114	0	0	2	19	16	7	4
"AGAP14P"	0	13	1	0	35	19	51	30
